BCHUSDT,LINKUSDT,BCHUSDT_perc,LINKUSDT_perc,spread,zscore
307.71,13.267,0.4262265562235088,0.4001146028107847,12.912716311042573,0.747919810358597
284.03,11.304,0.3934260464858575,0.34091320345014775,32.85124860028827,1.029845087550373
261.73,10.0,0.3625370529406876,0.301586344170336,39.52657519487644,1.0805284059688454
214.86,7.96,0.29761476022938194,0.2400627299595874,37.986073855121646,1.0252734696283925
197.98,7.327,0.2742333157880156,0.22097231437360515,35.17155064528595,0.903592892866589
185.16,6.714,0.2564756073911959,0.20248507147596356,35.97262058584002,0.848872962959217
179.9,7.643,0.24918968335318722,0.23050244284938776,10.069922421444062,0.4378143995735534
146.03,6.269,0.20227442723772057,0.1890644791603836,6.730672989668022,0.2969838429554982
120.6,6.601,0.16704989334293707,0.19907714578683877,-26.076480713862082,-0.6366034870784585
112.91,6.704,0.1563980386181677,0.2021834851317932,-36.05517598935484,-1.2488244911970658
105.67,6.219,0.14636950439094662,0.18755654743953193,-32.51830988630637,-1.4244688906888214
106.65,6.188,0.14772695791894064,0.18662162977260388,-30.849479269410466,-1.277783140332857
110.2,6.343,0.15264426406626588,0.1912962181072441,-30.74363235388988,-1.2331143663074922
131.85,7.091,0.18263290578164387,0.21385487665118524,-25.71444852931313,-0.9659821680334116
139.18,7.647,0.19278610410837466,0.23062307738705592,-30.738958948478,-1.0966518544124277
140.97,8.323,0.19526553453195555,0.2510103142529706,-43.969910465304366,-1.426148025517247
139.35,8.757,0.19302158074078177,0.26409916158996316,-55.2335391018467,-1.6008595317840562
119.6,7.062,0.1656647366817187,0.21298027625309127,-37.32005859737828,-0.9416499167349418
112.55,6.243,0.15589938222012908,0.18828035466554074,-26.17159810583867,-0.5839349332848288
118.33,7.146,0.16390558772197134,0.21551360154412208,-40.45656736574129,-0.9786721689880462
130.2,8.011,0.18034739729063354,0.2416008203148561,-47.80716361138448,-1.0935384570453162
111.74,7.519,0.15477740532454218,0.22676277218167562,-55.33475511097244,-1.195768246988187
113.4,7.879,0.15707676538216472,0.2376198805718077,-61.674078403956855,-1.267331816602818
114.25,7.142,0.15825414854420033,0.21539296700645394,-44.447685995819256,-0.6776554044424677
117.21,7.631,0.16235421226140676,0.23014053923638336,-52.35343346878982,-0.8797505285406023
110.38,7.168,0.15289359226528518,0.21617709150129683,-48.89541490031257,-0.7066042878806763
110.96,7.063,0.15369698312879185,0.2130104348875083,-45.98227893985877,-0.5517371070896604
116.34,7.782,0.16114912596614675,0.23469449303335543,-56.578705183347154,-1.1407129491264218
116.55,8.118,0.16144000886500262,0.24482779419747874,-63.83474025679932,-1.7602445557259832
99.59,6.074,0.13794775189073882,0.18318354544906207,-35.376360226632045,0.6509036915907586
104.8,5.763,0.14516441809568661,0.1738042101453646,-23.255833715192708,1.5473634690944897
111.18,6.896,0.1540017175942599,0.20797394293986368,-42.051481745613216,0.061664542109059355
111.19,7.442,0.15401556916087208,0.224440557331564,-54.17378873997296,-0.8517783072735792
106.15,6.695,0.14703437958833143,0.20191205742203994,-42.615192907030234,0.15936221105645987
101.83,5.946,0.141050502811868,0.17932324024368176,-30.292156389126475,1.269531574226954
101.35,5.987,0.14038562761448317,0.18055974425478014,-31.683190430827494,1.1566155566987735
96.8,5.628,0.13408316480593954,0.1697327944990651,-28.256087480323558,1.328005251369489
101.25,5.767,0.14024711194836134,0.17392484468303276,-26.89471508511477,1.2998000636811633
