ANTUSDT,EGLDUSDT,ANTUSDT_perc,EGLDUSDT_perc,spread,zscore
1.81,56.95,1.0838323353293413,0.97267292912041,-0.1909802244680292,1.9391844769126187
1.816,56.6,1.087425149700599,0.9666951323654996,-0.17268271650378342,2.041273223958792
1.816,58.37,1.087425149700599,0.9969257045260461,-0.23487297106582727,1.2021688505394024
1.844,58.25,1.1041916167664672,0.9948761742100769,-0.20265668262094283,1.4099996499647969
1.805,59.7,1.0808383233532934,1.0196413321947055,-0.2926035013299624,0.4062446397507744
1.851,59.57,1.1083832335329342,1.0174210076857388,-0.2420358555146711,0.8997107526402571
1.92,59.45,1.1497005988023952,1.0153714773697695,-0.16881956706978674,1.5286060075122028
2.072,60.47,1.2407185628742516,1.0327924850555081,-0.05265801885130328,2.218589647307887
2.022,59.45,1.2107784431137725,1.0153714773697695,-0.06681956706978687,1.8338147831686682
1.853,59.23,1.1095808383233534,1.0116140051238258,-0.22808970492083191,0.43763883089841815
1.906,53.76,1.141317365269461,0.9181895815542271,0.017102776691812815,2.0922741997669445
1.724,49.21,1.0323353293413173,0.8404782237403928,-0.005029619772989102,1.685966662118883
1.652,42.11,0.9892215568862275,0.7192143467122118,0.17243411321600144,2.381210783869687
1.826,47.65,1.0934131736526946,0.8138343296327925,0.15178213001050755,1.9931696226274909
1.977,45.78,1.1838323353293414,0.7818958155422716,0.368485958276622,2.5769134898173065
1.771,44.28,1.0604790419161676,0.7562766865926559,0.21518956383767618,1.6077183207184422
1.808,43.16,1.0826347305389223,0.7371477369769428,0.2915415893232636,1.7482655607889537
1.905,44.25,1.1407185628742516,0.7557643040136636,0.3502436359488974,1.792578925267518
1.87,43.35,1.1197604790419162,0.7403928266438942,0.34686579928552996,1.5891751204923361
1.972,42.35,1.1808383233532935,0.7233134073441504,0.48400153632623266,1.890098755604519
2.017,43.17,1.2077844311377246,0.7373185311699403,0.5001902319528562,1.7090406274552132
2.183,42.9,1.307185628742515,0.7327070879590094,0.675676880953846,2.0125932546553997
2.101,43.02,1.2580838323353294,0.7347566182749787,0.5894605925089618,1.5241089300681978
1.779,41.2,1.0652694610778444,0.703672075149445,0.33140763392304096,0.6019042731880487
1.842,40.56,1.102994011976048,0.692741246797609,0.4168945056290909,0.8099725949319896
1.871,41.29,1.1203592814371257,0.7052092228864218,0.42024541758937795,0.7491366896640237
1.899,42.38,1.137125748502994,0.7238257899231427,0.4099474642150116,0.6403660075543844
