WAVESUSDT,BALUSDT,WAVESUSDT_perc,BALUSDT_perc,spread,zscore
1.348,5.273,0.8992661774516344,0.961524434719183,0.00794581723385046,-1.89840381755824
1.344,5.303,0.8965977318212142,0.9669948942377826,-0.0036782346309296443,-2.325352315084771
1.347,5.291,0.8985990660440293,0.9648067104303429,0.0023713861149821103,-1.7169498738457156
1.338,5.293,0.8925950633755837,0.9651714077315828,-0.0071368840093364305,-1.9470482830089102
1.345,5.319,0.8972648432288192,0.9699124726477024,-0.006744395625479127,-1.703255122172273
1.33,5.278,0.8872581721147431,0.962436177972283,-0.011324858076946276,-1.6992456969296361
1.348,5.292,0.8992661774516344,0.9649890590809628,0.0031172510528230113,-0.9138785855260171
1.351,5.119,0.9012675116744495,0.9334427425237053,0.05008261680638704,1.2250030738318167
1.348,5.325,0.8992661774516344,0.9710065645514223,-0.005269205998434945,-1.2019263111719976
1.349,5.319,0.8999332888592394,0.9699124726477024,-0.0027443956254791235,-0.9956889965354515
1.352,5.301,0.9019346230820547,0.9666301969365427,0.004830035493389007,-0.609117194933067
1.347,5.314,0.8985990660440293,0.9690007293946025,-0.0034737203146824047,-0.8800426437457911
1.348,5.308,0.8992661774516344,0.9679066374908826,-0.0009489099417261393,-0.6957999698179268
1.343,5.32,0.8959306204136089,0.9700948212983225,-0.00899853068763834,-0.962504134127869
1.339,5.329,0.8932621747831887,0.9717359591539022,-0.015285746247072352,-1.1374094837306656
1.328,5.351,0.885923949299533,0.9757476294675419,-0.031876717614577554,-1.6643446120376653
1.31,5.282,0.8739159439626417,0.963165572574763,-0.0323413983255838,-1.5762319102653928
1.285,5.268,0.8572381587725149,0.9606126914660831,-0.05378350745535321,-2.3338036176890937
1.287,5.225,0.8585723815877251,0.9527716994894238,-0.04085569978250203,-1.6003246596154475
1.314,5.283,0.8765843895930621,0.963347921225383,-0.028595533387743233,-0.9406829008587699
1.329,5.295,0.886591060707138,0.9655361050328227,-0.016645154133655193,-0.3326746332165297
1.317,5.305,0.8785857238158772,0.9673595915390225,-0.031186504755248423,-0.9259238482359203
1.302,5.264,0.8685790527018011,0.9598832968636033,-0.035766967206715794,-1.041872653666823
1.3,5.275,0.867244829886591,0.9618891320204231,-0.04056245289046845,-1.1418463664403875
1.296,5.262,0.8645763842561708,0.9595185995623632,-0.04125869708239693,-1.0702308397858011
1.309,5.283,0.8732488325550366,0.963347921225383,-0.03359553338774335,-0.676435009841021
1.294,5.23,0.8632421614409606,0.9536834427425238,-0.035126375093298634,-0.6864272427992697
1.288,5.221,0.8592394929953302,0.9520423048869439,-0.03883915953386463,-0.7661799044679976
1.269,5.226,0.8465643762508338,0.9529540481400438,-0.05910983484466126,-1.8098462347428765
1.27,5.215,0.8472314876584389,0.9509482129832239,-0.055314349160908494,-1.4387323046224776
1.275,5.257,0.8505670446964642,0.9586068563092632,-0.060988021771600565,-1.5708972809836887
1.26,5.275,0.8405603735823882,0.9618891320204231,-0.08056245289046848,-2.2765844867400022
1.262,5.271,0.8418945963975983,0.9611597374179431,-0.0775459126418312,-1.8887559019251217
1.271,5.282,0.8478985990660439,0.963165572574763,-0.07134139832558395,-1.4782463974562488
1.268,5.284,0.8458972648432288,0.9635302698760029,-0.07484966844990248,-1.5236429282767008
1.259,5.271,0.8398932621747831,0.9611597374179431,-0.08054591264183131,-1.6455406639580046
1.267,5.261,0.8452301534356236,0.9593362509117432,-0.07000456202023808,-1.0017302302676996
1.268,5.256,0.8458972648432288,0.9584245076586434,-0.06773388670944125,-0.8039562282207439
1.279,5.236,0.8532354903268845,0.9547775346462436,-0.05165118546625469,0.018141072731634796
1.285,5.246,0.8572381587725149,0.9566010211524436,-0.048192536087848126,0.21567702857524335
1.282,5.212,0.8552368245496997,0.9504011670313639,-0.04255194397443063,0.5608173344033061
