HOTUSDT,SANDUSDT,HOTUSDT_perc,SANDUSDT_perc,spread,zscore
0.001427,0.3855,0.988911988911989,0.8888632695411576,5.23481815980476e-05,2.310503187677203
0.001438,0.3842,0.9965349965349966,0.8858658058565829,6.798384272365733e-05,2.8179159157544817
0.001423,0.3844,0.9861399861399861,0.8863269541157484,5.227066408894799e-05,1.4505747181553603
0.001425,0.3823,0.9875259875259875,0.8814848973945123,6.175903975339458e-05,1.838530329165262
0.001422,0.3846,0.9854469854469855,0.8867881023749136,5.055748545423899e-05,1.017419778731178
0.001428,0.3862,0.9896049896049895,0.8904772884482361,5.085205637656541e-05,0.9694644023171143
0.00143,0.3873,0.990990990990991,0.8930136038736454,4.8929573885664974e-05,0.7950149465548876
0.001428,0.388,0.9896049896049895,0.894627622780724,4.44334486641826e-05,0.4648297016227453
0.001432,0.3896,0.9923769923769923,0.8983168088540466,4.272801958650919e-05,0.30451748781710974
0.001429,0.3883,0.9902979902979903,0.895319345169472,4.4363680712119005e-05,0.34275262663053163
0.00143,0.3887,0.990990990990991,0.8962416416878026,4.393732344270076e-05,0.2573067261985108
0.001441,0.3881,0.9986139986139986,0.8948581969103068,5.707685934682816e-05,1.046255834770528
0.001435,0.3888,0.9944559944559944,0.8964722158173853,4.8580734125346125e-05,0.3815926832465336
0.001429,0.3869,0.9902979902979903,0.8920913073553148,4.9355931155083e-05,0.3681950291856582
0.001429,0.3875,0.9902979902979903,0.8934747521328108,4.7216395250955544e-05,0.10712195740281186
0.001423,0.3842,0.9861399861399861,0.8858658058565829,5.298384272365729e-05,0.5594441273924019
0.001423,0.3853,0.9861399861399861,0.8884021212819921,4.90613602327568e-05,0.09628604211767579
0.001422,0.3868,0.9854469854469855,0.8918607332257321,4.271252047243802e-05,-0.8601460457830631
0.001424,0.3855,0.9868329868329867,0.8888632695411576,4.934818159804742e-05,-0.06982149103992588
0.001419,0.3832,0.9833679833679833,0.8835600645607563,5.2549735897203026e-05,0.3282738442821235
0.001416,0.3803,0.9812889812889812,0.8768734148028592,5.989082610048614e-05,1.3888737725731568
0.00142,0.3826,0.9840609840609841,0.8821766197832603,5.5689271801330834e-05,0.7066044689619437
0.001417,0.3794,0.9819819819819819,0.8747982476366153,6.410012995667768e-05,2.1725924484616783
0.001415,0.3795,0.9805959805959805,0.8750288217661979,6.174354063932298e-05,1.5951209898564331
0.00142,0.3804,0.9840609840609841,0.8771039889324419,6.35342367831318e-05,1.8142963838004527
0.001422,0.3794,0.9854469854469855,0.8747982476366153,6.910012995667769e-05,2.1798850673625148
0.001418,0.3765,0.9826749826749827,0.868111597878718,7.544122015996088e-05,2.388115527462753
0.001421,0.3773,0.9847539847539847,0.8699561909153795,7.558850562112388e-05,2.0213834917254307
0.001419,0.3795,0.9833679833679833,0.8750288217661979,6.574354063932286e-05,0.9702162162714495
0.001421,0.3787,0.9847539847539847,0.8731842287295366,7.059625517815988e-05,1.3082279795522416
0.001416,0.3785,0.9812889812889812,0.8727230804703713,6.630943381286895e-05,0.8113701667520353
0.001415,0.3809,0.9805959805959805,0.8782568595803552,5.6751290196358764e-05,-0.20710921411580568
0.001416,0.3815,0.9812889812889812,0.8796403043578511,5.561175429223122e-05,-0.3183630460710263
0.001422,0.3832,0.9854469854469855,0.8835600645607563,5.554973589720321e-05,-0.3690659714437836
0.001424,0.3849,0.9868329868329867,0.8874798247636616,5.148771750217488e-05,-0.8239211786011988
0.001419,0.3841,0.9833679833679833,0.8856352317270003,4.934043204101184e-05,-1.0821687413031846
0.001423,0.3834,0.9861399861399861,0.8840212128199217,5.5836557262493825e-05,-0.3870964321592037
0.001421,0.3862,0.9847539847539847,0.8904772884482361,4.385205637656535e-05,-1.6218267373104505
0.001424,0.3858,0.9868329868329867,0.8895549919299055,4.827841364598369e-05,-1.233366739551048
0.001426,0.3863,0.9882189882189881,0.8907078625778188,4.849546705921093e-05,-1.1980831186676995
0.001431,0.3861,0.9916839916839917,0.8902467143186535,5.4208645693920024e-05,-0.5773683666243264
0.001431,0.3863,0.9916839916839917,0.8907078625778188,5.349546705921094e-05,-0.6167209799080999
0.001432,0.3865,0.9923769923769923,0.8911690108369842,5.378228842450156e-05,-0.5721921650874763
0.001436,0.3888,0.9951489951489951,0.8964722158173853,4.958073412534604e-05,-0.9428697687637042
0.001437,0.3878,0.9958419958419957,0.8941664745215587,5.414662729889201e-05,-0.40977234771319404
0.001438,0.3883,0.9965349965349966,0.895319345169472,5.3363680712119116e-05,-0.44402080040038366
0.001437,0.3851,0.9958419958419957,0.8879409730228269,6.377453886746579e-05,0.7345919612730767
0.001433,0.3815,0.9930699930699931,0.8796403043578511,7.261175429223131e-05,1.7916049467449937
0.001435,0.3843,0.9944559944559944,0.8860963799861655,6.462725340630271e-05,1.0373805059491084
0.001446,0.389,1.002079002079002,0.8969333640765507,5.886755549063677e-05,0.3521602521258153
0.001441,0.3894,0.9986139986139986,0.8978556605948813,5.244119822121838e-05,-0.42830408988302826
0.001442,0.3923,0.9993069993069992,0.9045423103527784,4.310010801793522e-05,-1.6358262923275688
0.001439,0.3916,0.9972279972279972,0.9029282914456999,4.259623323941736e-05,-1.5159384905441724
0.001459,0.4001,1.0110880110880112,0.922527092460226,3.2286141264277046e-05,-2.351993696188011
0.001459,0.4038,1.0110880110880112,0.9310583352547844,1.9092336522157213e-05,-2.8223618831513058
0.00146,0.4035,1.0117810117810118,0.9303666128660365,2.1162104474220858e-05,-2.1752866087057625
0.001459,0.4024,1.0110880110880112,0.9278302974406272,2.4084586965121644e-05,-1.7081175022720938
0.001461,0.4026,1.0124740124740126,0.9282914456997926,2.5371408330412395e-05,-1.4400670474818429
0.001462,0.4029,1.0131670131670132,0.9289831680885404,2.5301640378348582e-05,-1.3211967762870784
0.001451,0.4025,1.0055440055440055,0.9280608715702099,1.57279976477668e-05,-1.696267068437407
0.001454,0.4067,1.0076230076230075,0.9377449850126817,3.751246318873906e-06,-2.0256450503635985
0.001458,0.4104,1.0103950103950103,0.9462762278072401,-5.442558423245829e-06,-2.094581348953506
0.001455,0.4091,1.0083160083160083,0.9432787641226655,-3.806897297636445e-06,-1.7517259686575979
0.001457,0.4105,1.0097020097020097,0.9465068019368227,-6.799147740600394e-06,-1.650581447440123
0.001461,0.4097,1.0124740124740126,0.9446622089001615,5.3566798236242413e-08,-1.2360547812980411
0.00146,0.4108,1.0117810117810118,0.9471985243255707,-4.868915692664375e-06,-1.2890054817558365
0.001458,0.4098,1.0103950103950103,0.9448927830297441,-3.303022519118154e-06,-1.1142855953475406
0.001463,0.4106,1.0138600138600138,0.9467373760664054,-1.1557370579551134e-06,-0.9460082126151473
