UNIUSDT,C98USDT,UNIUSDT_perc,C98USDT_perc,spread,zscore
6.043,0.3234,1.4422434367541765,0.6550536763216528,0.827524660055146,0.44447736175079267
6.103,0.3328,1.4565632458233888,0.6740935790966173,0.7359307571625004,0.006174401610012018
6.394,0.3392,1.5260143198090692,0.6870569171561677,0.9237178871079337,0.7794009842010979
6.53,0.3332,1.5584725536992838,0.6749037877253392,1.1564799527840908,1.7323214360784729
6.569,0.3146,1.5677804295942719,0.6372290864897711,1.4954423563801766,2.6133475295685784
6.087,0.3095,1.452744630071599,0.6268989264735669,1.0956901122049096,0.9695347723981899
6.03,0.3129,1.4391408114558473,0.633785699817703,0.983858274988421,0.4825463861398725
6.09,0.3131,1.4534606205250595,0.634190804132064,1.0406328727992156,0.6320754057833776
6.284,0.3111,1.499761336515513,0.6301397609884545,1.2668868946912681,1.3794474636027427
6.145,0.2944,1.4665871121718375,0.5963135507393154,1.397207977489904,1.6564077848217709
6.574,0.299,1.5689737470167062,0.6056309499696171,1.7520237271381847,2.3806571064248665
6.692,0.3041,1.5971360381861575,0.6159611099858213,1.7877759713134518,2.080145355473483
6.803,0.3108,1.6236276849642004,0.6295321045169131,1.790724997975075,1.8121252275020452
6.851,0.3285,1.6350835322195703,0.665383836337857,1.5532769042304126,1.1088974719369868
7.094,0.3372,1.6930787589498806,0.6830058740125582,1.6559719089999865,1.2270083389049444
6.894,0.331,1.6453460620525058,0.6704476402673688,1.5559593768653475,0.9008267891794535
6.958,0.3205,1.6606205250596657,0.6491796637634191,1.7892929917986224,1.3043251547272077
7.121,0.3119,1.6995226730310262,0.6317601782458983,2.0909852859344475,1.8733171057183664
7.099,0.3025,1.694272076372315,0.6127202754709337,2.2205791888270934,1.9462498522041916
6.917,0.325,1.650835322195704,0.6582945108365404,1.6757214425415041,0.6072510354676433
7.556,0.3506,1.803341288782816,0.7101478630747418,1.901869962323235,1.042069701530896
7.623,0.3393,1.8193317422434367,0.6872594693133481,2.1511051860133312,1.4851896785734868
7.247,0.3209,1.7295942720763722,0.649989872392141,2.071842187420211,1.2183997145196335
7.007,0.32,1.6723150357995225,0.6481669029775167,1.8463564972716346,0.578934123501767
6.063,0.2346,1.447016706443914,0.4751873607453919,2.2796032320622674,1.5688040447132212
4.897,0.181,1.1687350835322194,0.36661940449665786,1.9780110187692692,0.70655717535482
5.768,0.2177,1.3766109785202862,0.4409560461818918,2.257149717050109,1.3263377167694077
