ANTUSDT,TRXUSDT,ANTUSDT_perc,TRXUSDT_perc,spread,zscore
1.756,0.06746,1.051497005988024,1.0389650392730634,-0.23852164100760764,0.9349539399094663
1.776,0.06796,1.0634730538922157,1.046665639919914,-0.23330463567858017,0.9124763636167461
1.686,0.06692,1.0095808383233533,1.0306483905744648,-0.2925560067629571,0.05965603792458629
1.724,0.0669,1.0323353293413173,1.0303403665485908,-0.2539646869761183,0.5348809954454367
1.709,0.06681,1.0233532934131737,1.0289542584321576,-0.26630374793534295,0.28759522811654414
1.584,0.06358,0.9485029940119761,0.9792083782535037,-0.29580560236086084,-0.2065777580757022
1.614,0.06531,0.9664670658682636,1.0058524564916065,-0.31695476392242594,-0.5483551763919794
1.723,0.06862,1.0317365269461078,1.0568304327737563,-0.30581818864426347,-0.3769925316080215
1.89,0.06965,1.1317365269461077,1.0726936701062684,-0.16927115766646694,1.5565857728522572
1.992,0.06919,1.192814371257485,1.065609117511166,-0.05367080256917234,2.534519021789383
1.971,0.06901,1.180239520958084,1.0628369012782997,-0.0693489244876222,1.9826581994649413
1.955,0.06881,1.1706586826347307,1.0597566610195595,-0.07943572661923293,1.641716889061624
2.031,0.06983,1.2161676646706587,1.0754658863391344,-0.0335930357480172,1.8408520562432436
1.949,0.06824,1.1670658682634731,1.0509779762821498,-0.06858311269432416,1.3835861331534425
1.926,0.06775,1.1532934131736527,1.0434313876482366,-0.07709577791677158,1.1897870463446334
1.966,0.06885,1.177245508982036,1.0603727090713075,-0.06961836619291062,1.1541412508759057
2.032,0.06987,1.2167664670658684,1.0760819343908825,-0.0337756753216949,1.3565109620093314
2.017,0.0694,1.2077844311377246,1.068843369782843,-0.034879660330980666,1.2157085746071006
2.08,0.06955,1.2455089820359282,1.0711535499768983,0.023685441267727647,1.570747997219427
2.102,0.07004,1.2586826347305389,1.0787001386108117,0.031198106490174293,1.4815255299105154
2.112,0.06834,1.2646706586826348,1.05251809641152,0.09146028837148101,1.7400159292159898
2.238,0.07034,1.340119760479042,1.0833204989989218,0.15832830968759115,1.9332081799799392
2.171,0.0703,1.3,1.082704450947174,0.09251094926126857,1.3148324251081926
2.181,0.0704,1.3059880239520958,1.084244571076544,0.09955435032707438,1.245145489611281
2.095,0.0699,1.254491017964072,1.0765439704296935,0.028337344998047076,0.6702234893578254
2.008,0.07033,1.2023952095808383,1.083166486985985,-0.07137603041898943,-0.12608979362824338
2.006,0.06882,1.2011976047904191,1.0599106730324965,-0.028731386512653057,0.1145309368160271
1.992,0.06968,1.192814371257485,1.0731557061450794,-0.06815813734672549,-0.377108215085537
1.863,0.06825,1.1155688622754492,1.0511319882950871,-0.15487877258774407,-1.5787769716367137
1.758,0.06733,1.0526946107784432,1.0369628831048823,-0.23267806239315458,-2.297690199465628
1.643,0.06406,0.9838323353293413,0.9866009548744803,-0.25099727724499465,-2.104940303331596
1.593,0.06575,0.9538922155688623,1.0126289850608348,-0.35096379923288157,-2.449353181128293
1.645,0.06586,0.9850299401197605,1.014323117203142,-0.30221605806049556,-1.796301526959936
1.649,0.0656,0.9874251497005988,1.0103188048667797,-0.2905289008315899,-1.5193557152726622
1.725,0.06627,1.032934131736527,1.0206376097335592,-0.2343381136906928,-1.0429501110182462
1.679,0.06474,1.0053892215568863,0.9970737717541969,-0.23510214999751722,-0.9722810803277226
1.754,0.06545,1.0502994011976048,1.0080086246727245,-0.18109400243029783,-0.5771901122093978
1.533,0.06148,0.9179640718562874,0.9468658555367319,-0.2847170247427766,-1.1388292473239663
1.589,0.06285,0.951497005988024,0.9679655013091021,-0.26922243014124136,-0.9518496599671741
1.512,0.06134,0.9053892215568863,0.9447096873556137,-0.3015777862349043,-1.046345168547947
1.659,0.06333,0.9934131736526947,0.9753580779300784,-0.2134141050253746,-0.4428508633534283
1.586,0.06465,0.9497005988023953,0.9956876636377637,-0.32544121095674194,-1.0527014186536414
1.659,0.06336,0.9934131736526947,0.9758201139688896,-0.21430108470563303,-0.24859134096704788
1.733,0.06326,1.0377245508982036,0.9742799938395194,-0.13734448577143832,0.44439172918649367
1.769,0.06254,1.0592814371257484,0.9631911289080548,-0.08005697344523832,1.1378480695234103
1.844,0.06307,1.1041916167664672,0.9713537655937163,-0.020726947796468886,1.8068946315412533
1.868,0.06347,1.118562874251497,0.9775142461111966,-0.008553343533246993,1.809877978130548
1.931,0.06291,1.1562874251497006,0.968889573386724,0.07100361049824233,2.3042090975176106
1.911,0.06063,1.1443113772455091,0.9337748344370861,0.11841406619787653,2.3120381642756747
1.847,0.06176,1.1059880239520958,0.9511781918989681,0.021004498241478764,1.4268808320693729
1.82,0.06113,1.0898203592814373,0.9414754350839365,0.012631071526904236,1.2352813374346536
2.048,0.0634,1.2263473053892215,0.9764361620206375,0.17351627572068917,1.986402669594643
1.962,0.06471,1.1748502994011976,0.9966117357153859,0.048784829682741115,1.1039978627459834
1.962,0.06416,1.1748502994011976,0.9881410750038502,0.0650461238208111,1.0970475771031776
1.93,0.06382,1.1556886227544911,0.982904666563992,0.043098560197072144,0.8716688397123965
1.734,0.06086,1.0383233532934133,0.9373171107346372,-0.06538611135077055,0.12790134725887348
1.759,0.06159,1.0532934131736527,0.9485599876790389,-0.061969283570390665,0.0988155258159399
1.657,0.06124,0.9922155688622755,0.9431695672262437,-0.15362118730070984,-0.5285687545729238
1.721,0.06127,1.0305389221556887,0.9436316032650546,-0.09050816698096797,-0.1739634780605131
1.75,0.06222,1.0479041916167666,0.9582627444940705,-0.08959585685581573,-0.24184864121552618
1.62,0.0607,0.970059880239521,0.9348529185276451,-0.17465555305605918,-0.9985689092676451
1.683,0.06025,1.0077844311377246,0.9279223779454797,-0.09835085785218411,-0.44248466546715476
