1000BTTUSDT,ONTUSDT,1000BTTUSDT_perc,ONTUSDT_perc,spread,zscore
0.000869,0.22995,1.0597560975609757,0.9895004087955591,3.375071931334872e-05,0.8760928753688652
0.000901,0.23599,1.0987804878048781,1.0154912001376994,4.3811577520144166e-05,1.0406414827295207
0.000896,0.22895,1.0926829268292684,0.9851972976461981,6.438302755725682e-05,1.4328654215384853
0.000929,0.24998,1.1329268292682928,1.0756917251172597,2.0995585187870923e-05,0.28651919717205204
0.000924,0.25482,1.126829268292683,1.0965187830801668,-1.5847867126439269e-06,-0.2435211643563034
0.00091,0.24733,1.1097560975609757,1.064288480571453,1.16212020342272e-05,0.14386571365904363
0.000927,0.2474,1.1304878048780487,1.0645896983519083,2.8366940457153606e-05,0.5807850587735628
0.000919,0.24648,1.1207317073170733,1.0606308360944963,2.370866404154896e-05,0.36601538572220527
0.000917,0.24566,1.1182926829268292,1.0571022849520202,2.468715680155353e-05,0.3180426072150527
0.000933,0.24931,1.1378048780487806,1.072808640647188,2.74292317112893e-05,0.34945885432824003
0.00088,0.22631,1.0731707317073171,0.9738370842118852,5.797232132117398e-05,1.5832072542951512
0.000864,0.2309,1.053658536585366,0.993588364387452,2.530002648163602e-05,0.09362057213532575
0.000927,0.24641,1.1304878048780487,1.060329618314041,3.196292561862262e-05,0.3624511109134224
0.000954,0.27435,1.1634146341463414,1.1805585438271868,-4.252376671616781e-05,-2.3817905595656215
0.00096,0.27866,1.1707317073170733,1.199104952880933,-5.217901524741137e-05,-2.2582323156098245
0.000947,0.27573,1.154878048780488,1.1864968372133051,-5.453635209276065e-05,-2.138755327645519
0.000982,0.27205,1.197560975609756,1.1706613881836567,-6.169457755179344e-06,-0.710400294806214
0.000964,0.28339,1.175609756097561,1.2194586686174103,-6.53598332410962e-05,-2.123169964205776
0.000969,0.26675,1.181707317073171,1.1478548990920434,8.177593753327592e-08,-0.28242427795206243
0.000965,0.26983,1.176829268292683,1.1611084814320753,-1.5105733453703546e-05,-0.6493826343780369
0.000955,0.27475,1.1646341463414636,1.1822797882869314,-4.2976690013731065e-05,-1.2749426072212717
0.000983,0.29105,1.198780487804878,1.2524205000215154,-7.418331438943182e-05,-1.8115037011935096
0.000971,0.28687,1.1841463414634146,1.2344334954171867,-7.100026592989637e-05,-1.5437071676624663
0.000976,0.28895,1.1902439024390243,1.2433839666078574,-7.355546707722498e-05,-1.4714691394782966
0.000988,0.28848,1.2048780487804878,1.2413615043676578,-5.984828220258827e-05,-1.0397911617156146
0.000963,0.2717,1.174390243902439,1.1691552992813803,-2.389814986981161e-05,-0.17011294045090247
0.001014,0.28725,1.2365853658536585,1.2360686776539438,-2.9380543062581524e-05,-0.25582960158196594
0.001006,0.29114,1.226829268292683,1.252807780024958,-5.1510222131383654e-05,-0.7063466056451525
0.00102,0.29787,1.2439024390243905,1.2817677180601574,-6.195565661288455e-05,-0.872873578858491
0.001015,0.2987,1.2378048780487805,1.2853393003141271,-6.997047245532826e-05,-0.9765682099245198
0.001008,0.29165,1.2292682926829268,1.255002366711132,-5.136269933577668e-05,-0.43936583452018324
0.000983,0.29039,1.198780487804878,1.2495804466629372,-7.178599094845263e-05,-0.9634667642982911
0.000978,0.28635,1.1926829268292682,1.2321958776195188,-6.211146564306415e-05,-0.5976212104868638
0.000956,0.289,1.1658536585365855,1.2435991221653253,-9.373708248942023e-05,-1.7515215480139879
0.000951,0.2693,1.1597560975609758,1.158827832522914,-2.7180610084432105e-05,0.9334966573834663
0.000875,0.25406,1.0670731707317074,1.0932484186066527,-4.782423244727391e-05,0.09404757797062144
0.000871,0.2504,1.0621951219512196,1.0774990317999913,-3.852998427457052e-05,0.43567687213972367
0.000895,0.2548,1.0914634146341464,1.0964327208571798,-3.0512140547765926e-05,0.8584266416484101
0.00089,0.25178,1.0853658536585364,1.0834373251861096,-2.4542569651163598e-05,1.0134041552389212
0.000907,0.25933,1.1060975609756099,1.115925814363785,-3.4966496892669145e-05,0.7203988590117286
0.000904,0.25425,1.102439024390244,1.094066009725031,-1.9514371013616303e-05,1.481149681437334
0.000916,0.25975,1.1170731707317074,1.1177331210465165,-2.749206635511048e-05,1.037471586602221
0.000864,0.23785,1.053658536585366,1.023494986875511,5.5484186475200474e-08,1.9884559628732226
0.000866,0.2364,1.0560975609756098,1.0172554757089376,7.322331140141927e-06,1.9696036233364869
0.000849,0.233,1.0353658536585366,1.0026248978011103,2.6721791694291888e-06,1.5932711775177655
0.000882,0.24605,1.075609756097561,1.058780498300271,-1.1729443413570546e-05,0.9464659363293195
0.000878,0.24122,1.0707317073170732,1.0379964714488574,1.8146054045052205e-06,1.3542970889459967
0.00088,0.2443,1.0731707317073171,1.0512500537888894,-7.372903986731455e-06,0.9584917378852502
0.000889,0.24975,1.0841463414634147,1.0747020095529067,-1.8168983916030186e-05,0.5190982247839838
0.000889,0.24055,1.0841463414634147,1.0351133869787856,1.524825192792355e-05,1.525461486218246
0.000879,0.2405,1.0719512195121952,1.0348982314213175,5.429867340119043e-06,1.0883201963706488
0.000881,0.2439,1.074390243902439,1.0495288093291448,-4.9199806891683665e-06,0.6527060708094914
0.00089,0.24268,1.0853658536585364,1.0442790137269244,8.511435368399427e-06,1.0521047763090285
0.000866,0.22285,1.0560975609756098,0.9589483196350961,5.654010784509581e-05,2.386249102270711
0.000883,0.23067,1.076829268292683,0.992598648823099,4.5135457377734937e-05,2.011486553298629
0.000881,0.24178,1.074390243902439,1.0404062136924996,2.7805127879166995e-06,0.33122364861110454
0.00091,0.2537,1.1097560975609757,1.0916992985928826,-1.1516601479466862e-05,-0.3158475292033503
0.000923,0.25215,1.125609756097561,1.085029476311373,7.113476298590518e-06,0.3954857998353236
0.000915,0.25295,1.1158536585365855,1.0884719652308619,-3.792370296536022e-06,-0.15039080500280758
0.000901,0.2528,1.0987804878048781,1.0878264985584578,-1.7247524059949807e-05,-0.8020766577752116
0.000859,0.2295,1.0475609756097561,0.9875640087783467,2.5385258023107276e-05,1.113817792641464
0.000874,0.23495,1.0658536585365854,1.011015964542364,2.0589178093808583e-05,0.7968748472725834
0.000828,0.22619,1.0097560975609756,0.9733207108739619,6.408198310442893e-06,0.01099303973065093
0.000823,0.23075,1.0036585365853659,0.992942897715048,-1.5155127281777769e-05,-1.0733903402501739
0.000834,0.23655,1.0170731707317073,1.0179009423813417,-2.5222515096444322e-05,-1.4327864451307732
0.000786,0.21878,0.9585365853658537,0.9414346572571969,-8.676397602198557e-06,-0.5876407941517005
0.000803,0.22073,0.9792682926829268,0.9498257239984509,1.2406013221807509e-06,-0.1365841210033315
0.000782,0.21915,0.9536585365853659,0.9430268083824606,-1.4020351652444581e-05,-0.8375066099006088
0.000767,0.21146,0.9353658536585366,0.9099358836438745,-1.0879012567918374e-06,-0.2262213686218792
0.000797,0.2273,0.9719512195121951,0.9780971642497526,-2.86236638402951e-05,-1.4958618316937273
0.000793,0.2281,0.9670731707317073,0.9815396531692413,-3.5529510435421434e-05,-1.6025104650807163
0.00079,0.22195,0.9634146341463415,0.9550755196006713,-1.619081473538703e-05,-0.691934614834839
0.000775,0.21635,0.9451219512195121,0.9309780971642496,-1.0849888569502107e-05,-0.4437669118565316
0.000788,0.22033,0.9609756097560975,0.9481044795387065,-1.2306475380256116e-05,-0.4633966410017724
0.000776,0.21908,0.9463414634146342,0.9427255906020052,-1.9766090075371045e-05,-0.762174324977524
0.00078,0.22325,0.9512195121951219,0.9606695640948405,-3.0912815452467505e-05,-1.3852438352009162
0.000785,0.22555,0.9573170731707318,0.9705667197383708,-3.4267124413455926e-05,-1.4245316364164822
0.000774,0.22415,0.9439024390243902,0.9645423641292653,-4.018189287198471e-05,-1.5836708968150637
0.00077,0.22175,0.9390243902439024,0.954214897370799,-3.546435308660555e-05,-1.1950192228173304
0.000767,0.21519,0.9353658536585366,0.925986488230991,-1.4636411006568786e-05,-0.002279106774063193
0.000784,0.22355,0.9560975609756097,0.9619604974396488,-2.800250792563987e-05,-0.717427667849325
