ANTUSDT,KAVAUSDT,ANTUSDT_perc,KAVAUSDT_perc,spread,zscore
1.912,1.852,1.1449101796407186,1.0824079485680889,-0.2029574746946512,1.4904522984587016
1.889,1.95,1.1311377245508982,1.1396843950905902,-0.3378720710877807,0.3239393083520439
1.756,1.797,1.051497005988024,1.0502630040911747,-0.2961482624332008,0.6703302254470602
1.776,1.799,1.0634730538922157,1.0514319111630626,-0.27843223378816284,0.7845538073607886
1.686,1.767,1.0095808383233533,1.0327293980128578,-0.3318886921087736,0.08320098024556738
1.724,1.807,1.0323353293413173,1.0561075394506136,-0.3395681192080102,-0.12716935266850288
1.709,1.796,1.0233532934131737,1.0496785505552308,-0.34200627675572015,-0.24390056693390955
1.584,1.665,0.9485029940119761,0.973115137346581,-0.3174061530057204,0.06535773494395337
1.614,1.714,0.9664670658682636,1.0017533606078317,-0.34336345120228495,-0.3956037919478263
1.723,1.889,1.0317365269461078,1.1040327293980128,-0.43421094476144506,-1.8104259353153045
1.89,1.934,1.1317365269461077,1.130333138515488,-0.31860030024808617,-0.05361796493253243
1.992,1.892,1.192814371257485,1.1057860900058445,-0.1686369017938878,2.1623784010552316
1.971,1.899,1.180239520958084,1.1098772647574517,-0.197630801536254,1.5756437649206874
1.955,1.896,1.1706586826347307,1.10812390414962,-0.21020484450381138,1.2423884214139864
2.031,1.971,1.2161676646706587,1.1519579193454121,-0.21985377031487996,0.9949336720593481
1.949,2.029,1.1670658682634731,1.1858562244301576,-0.36808893960877254,-1.2163004761396945
1.926,2.036,1.1532934131736527,1.189947399181765,-0.3990828393511394,-1.4936212199660905
1.966,2.107,1.177245508982036,1.2314436002337814,-0.44016382245228436,-1.7997831839756095
2.032,2.175,1.2167664670658684,1.271186440677966,-0.45181884852098575,-1.7064836832378596
2.017,2.163,1.2077844311377246,1.2641729982466392,-0.4531150203912149,-1.5277120454225046
2.08,2.128,1.2455089820359282,1.2437171244886032,-0.3501455216793832,-0.3038620327498414
2.102,2.161,1.2586826347305389,1.2630040911747515,-0.36583104903625374,-0.41565692363288986
2.112,2.229,1.2646706586826348,1.3027469316189364,-0.4334860751049554,-1.1414052911903365
2.238,2.304,1.340119760479042,1.346580946814728,-0.3931350009160237,-0.6114294013389622
2.171,2.265,1.3,1.3237872589129165,-0.4155975594942687,-0.7953309568767677
2.181,2.286,1.3059880239520958,1.336060783167738,-0.4295792587213674,-0.8859477716032844
2.095,2.261,1.254491017964072,1.321449444769141,-0.48702961678434464,-1.3866595174974343
2.008,2.232,1.2023952095808383,1.304500292226768,-0.5409120321373986,-1.7183375161942862
2.006,2.249,1.2011976047904191,1.314436002337814,-0.562325788654574,-1.686053052520782
1.992,2.155,1.192814371257485,1.2594973699590881,-0.4689791349713679,-0.7575084132391394
1.863,2.034,1.1155688622754492,1.1887784921098772,-0.4597988679961773,-0.6582182070554184
1.758,1.972,1.0526946107784432,1.152542372881356,-0.4939957559923607,-0.8835691553477547
1.643,1.834,0.9838323353293413,1.0718877849210988,-0.4514017324999948,-0.4275155618999724
1.593,1.81,0.9538922155688623,1.0578609000584454,-0.47399407624045287,-0.5944741429938498
1.645,1.842,0.9850299401197605,1.07656341320865,-0.45853761791984216,-0.33748360482659706
1.649,1.784,0.9874251497005988,1.0426651081239042,-0.3883024486259492,0.9883456209781122
1.725,1.794,1.032934131736527,1.048509643483343,-0.3237223054007581,1.9973957006232805
1.679,1.813,1.0053892215568863,1.0596142606662768,-0.39142003327289543,0.824540942333153
1.754,1.838,1.0502994011976048,1.0742255990648744,-0.3449696752099185,1.4528378247652394
1.533,1.653,0.9179640718562874,0.9661016949152542,-0.35470232487594955,1.178395793772816
1.589,1.65,0.951497005988024,0.9643483343074225,-0.29527636784350664,1.8118858657186783
1.512,1.619,0.9053892215568863,0.9462302746931619,-0.3368748118415985,1.2002156688975898
1.659,1.72,0.9934131736526947,1.005260081823495,-0.3052153652671705,1.5280677634514097
1.586,1.684,0.9497005988023953,0.9842197545295148,-0.3371038808778577,1.0128118536526758
1.659,1.782,0.9934131736526947,1.0414962010520163,-0.37601847727098714,0.49343448363136033
1.733,1.735,1.0377245508982036,1.0140268848626535,-0.24834515042938432,1.8519615722937228
1.769,1.72,1.0592814371257484,1.005260081823495,-0.19521536526717065,2.068626119304765
