ICPUSDT,QNTUSDT,ICPUSDT_perc,QNTUSDT_perc,spread,zscore
4.05,107.18,1.0602094240837696,0.9470707784748609,0.12091521321249576,2.301286476740035
4.07,107.15,1.0654450261780106,0.9468056905540337,0.14201497570180033,2.182497270736857
4.06,107.15,1.06282722513089,0.9468056905540337,0.13201497570179965,1.767305569086358
4.06,107.91,1.06282722513089,0.9535212512149862,0.1041543259727602,1.2738644334708937
4.06,108.64,1.06282722513089,0.9599717239551118,0.07739343873302396,0.8692879627852662
4.07,108.13,1.0654450261780106,0.9554652293010515,0.10608940105119657,1.1062996452867853
4.07,108.03,1.0654450261780106,0.9545816028982946,0.10975527601554358,1.0525636964469642
4.08,108.08,1.068062827225131,0.955023416099673,0.11792233853336986,1.0490493043707052
4.05,107.95,1.0602094240837696,0.9538747017760891,0.09268797598702117,0.6964963538808844
4.07,109.24,1.0654450261780106,0.9652734823716532,0.06539818894694083,0.3389142413033454
