BCHUSDT,CREAMUSDT,BCHUSDT_perc,CREAMUSDT_perc,spread,zscore
114.5,17.6,0.9575179795952501,1.0482430017867779,-17.738478737852716,-0.8679195807010917
119.6,18.35,1.0001672520488376,1.0929124478856465,-18.273641184068026,-0.9292223341029437
122.67,17.91,1.025840441545409,1.066706372840977,-11.897679215621693,0.2175976128215131
133.36,18.57,1.1152366616491054,1.1060154854079811,-6.1666221682911555,1.2279469476279723
130.39,18.0,1.0903997323967218,1.072066706372841,-4.8538987091675665,1.3563761374220604
130.5,18.04,1.0913196186653287,1.0744490768314472,-5.044440706299014,1.31784872101495
116.1,16.51,0.9708981435022579,0.9833234067897559,-7.9487093160198015,0.8196961004666633
115.15,16.55,0.962953671182472,0.9857057772483622,-9.199251313151265,0.6012307798164449
112.55,15.99,0.9412109048335842,0.9523525908278738,-7.5916633533105085,0.8415200671561882
119.5,16.85,0.9993309918046496,1.0035735556879095,-7.103316291637398,0.8588203511663505
114.55,16.55,0.957936109717344,0.9857057772483622,-9.799251313151274,0.2123147833033951
115.07,16.85,0.9622846629871216,1.0035735556879095,-11.533316291637405,-0.26621545890977083
116.55,16.55,0.9746613146011038,0.9857057772483622,-7.799251313151274,0.5996871796608949
116.3,17.1,0.9725706639906339,1.018463371054199,-12.181703773709174,-0.5106513251955989
117.75,16.9,0.9846964375313598,1.0065515187611673,-9.228993788051739,0.22956145050237506
118.33,17.12,0.9895467469476501,1.0196545562835022,-10.301974772274903,-0.09944007137320077
125.6,16.9,1.0503428667001171,1.0065515187611673,-1.3789937880517442,1.9432977388961856
112.01,16.0,0.9366950995149691,0.9529481834425254,-8.206798852593366,0.20067456571275066
118.65,16.55,0.9922227797290517,0.9857057772483622,-5.699251313151265,0.8315212390979014
126.5,17.12,1.057869208897809,1.0196545562835022,-2.1319747722749014,1.5682163144152133
132.75,18.02,1.1101354741595584,1.0732578916021442,-2.6441697077332833,1.3090917067591736
132.53,17.9,1.108295701622345,1.0661107802263252,-1.9625437163388142,1.4002961831619145
130.2,19.14,1.0888108379327646,1.139964264443121,-13.609345627414825,-1.7328807485336502
128.88,18.52,1.0777722027094832,1.103037522334723,-10.270944671876833,-0.8366404328037508
117.41,17.18,0.9818531527011206,1.0232281119714115,-11.672787767972125,-1.128616643237031
120.0,16.5,1.0035122930255895,0.9827278141751042,-3.9735738167369163,0.9965220689177853
117.49,16.54,0.9825221608964709,0.9851101846337106,-6.784115813868397,0.24663721717252401
119.5,16.21,0.9993309918046496,0.9654556283502086,-2.2946443375336685,1.3544986045243772
122.1,18.3,1.0210737581535374,1.0899344848123884,-15.397963687653686,-1.8606960197789144
111.74,15.8,0.9344371968556614,0.9410363311494938,-6.974088866935958,0.16656157814584888
111.96,15.5,0.936276969392875,0.9231685527099465,-4.500023888449832,0.7239216723382501
112.71,15.8,0.9425489212242849,0.9410363311494938,-6.004088866935959,0.324332735900397
108.8,15.49,0.9098511456765346,0.9225729600952949,-7.584888389166963,-0.101576256285408
116.5,15.95,0.9742431844790099,0.9499702203692675,-3.3411213561790163,0.8717227690028504
120.1,15.29,1.0043485532697776,0.9106611078022633,5.217821596490467,2.389480029101864
117.32,15.08,0.9811005184813514,0.8981536628945802,4.015667081430735,1.8378956582305712
113.4,14.63,0.9483191169091822,0.8713519952352592,3.476764549159938,1.5390007572042652
116.25,14.4,0.97215253386854,0.8576533650982728,8.05488103266596,2.053997656348044
114.15,14.43,0.9545910687405922,0.8594401429422276,5.729474534817356,1.4834067102853776
114.05,14.47,0.953754808496404,0.8618225134008339,5.3289325376858585,1.2823927741900136
116.82,14.56,0.9769192172604114,0.8671828469326981,7.422713044140025,1.4435752834769169
120.04,14.44,1.0038467971232647,0.8600357355568791,11.544339035534492,1.7670640044196353
117.07,14.57,0.9790098678708814,0.8677784395473497,7.59757754485716,1.1534138490184078
114.25,14.15,0.9554273289847801,0.8427635497319834,7.933268514737733,1.0996403070317782
116.18,14.2,0.9715671516976083,0.8457415128052412,9.4875910183234,1.183969655869965
121.15,14.63,1.0131292858337515,0.8713519952352592,11.226764549159938,1.2960576806877862
122.05,14.4,1.0206556280314434,0.8576533650982728,13.854881032665958,1.462844087279955
118.38,14.25,0.9899648770697441,0.8487194758784992,11.31191352190902,1.0391620751871533
116.75,14.3,0.9763338350894799,0.8516974389517571,9.30623602549467,0.7130055925567802
116.94,14.31,0.9779227295534371,0.8522930315664087,9.421100526211802,0.6862246418302204
117.21,14.2,0.9801806322127445,0.8457415128052412,10.517591018323387,0.7834021303469282
111.6,13.58,0.9332664325137983,0.8088147706968434,9.565991973861372,0.556855316399243
111.05,13.15,0.9286670011707643,0.7832042882668255,12.246818443024821,0.9813622721521148
111.74,13.05,0.9344371968556614,0.7772483621203098,13.688173435853528,1.3609694726593262
108.8,12.95,0.9098511456765346,0.7712924359737939,11.49952842868224,0.8360442435491363
107.65,12.85,0.9002341528683727,0.7653365098272782,11.100883421510957,0.6310842336143152
108.09,13.0,0.9039136979427999,0.7742703990470519,10.413850932267891,0.31956316249933464
110.38,13.5,0.9230640575347048,0.8040500297796308,8.947075968124338,-0.3801257399361366
110.68,13.25,0.9255728382672689,0.7891602144133413,11.125463450196122,0.5103106918834355
108.71,13.32,0.9090985114567653,0.7933293627159024,8.62951495521601,-0.7073681679036182
105.88,12.82,0.8854323465462451,0.7635497319833234,9.556289919359557,-0.4200673355977457
106.45,12.31,0.8901990299381167,0.733174508636093,13.958200382785975,1.833176459762019
107.25,12.11,0.8968891118916207,0.7212626563430613,16.26091036844339,2.4685633139695926
108.58,11.87,0.908011373139321,0.7069684335914235,19.394162351232296,2.894678988431879
110.96,12.08,0.9279143669509952,0.7194758784991067,20.196316866291994,2.5301294979840314
107.9,11.92,0.9023248034788427,0.7099463966646814,18.33848485481795,1.7086284982558284
112.72,12.19,0.9426325472487038,0.726027397260274,21.129826374180425,2.092335787100985
114.47,12.28,0.9572671015219937,0.7313877307921381,22.203606880634595,2.0121145499219293
112.51,12.05,0.9408764007359091,0.7176891006551519,21.971723364140615,1.7071992611762998
115.62,12.2,0.9668840943301555,0.7266229898749256,23.954690874897565,1.8347034369615123
118.57,12.27,0.9915537715337013,0.7307921381774866,26.378742379917455,1.9674423303351858
116.34,11.89,0.9729051680883091,0.7081596188207266,27.003891352666557,1.8005601088054564
115.1,11.6,0.962535541060378,0.6908874329958309,27.94282083186981,1.7175750824013096
114.99,11.65,0.9616156547917711,0.6938653960690888,27.45714333545544,1.4611738800150509
113.81,11.13,0.951747783910353,0.6628945801072067,30.18418929816474,1.638385389760566
115.77,11.56,0.9681384846964375,0.6885050625372247,28.913362829001287,1.3154606667994833
124.53,12.03,1.0413948820873056,0.7164979154258487,34.14199436270637,1.7766814912868447
123.74,12.35,1.0347884261582203,0.7355568790946992,30.947658385654492,1.2419608997907283
116.55,11.98,0.9746613146011038,0.7135199523525909,26.537671859120707,0.5988045218806742
117.95,11.7,0.9863689580197358,0.6968433591423466,30.04146583904111,0.9961264622591939
103.2,9.31,0.8630205720020071,0.5544967242406195,33.248850167647234,1.3887130823767684
89.14,6.65,0.7454423816691754,0.3960690887432996,39.17489297689088,2.1344534671113093
102.76,7.88,0.85934102692758,0.46932698034544373,43.55322656509777,2.402155108681983
103.14,7.42,0.8625188158554943,0.44192972007147113,47.389459532109825,2.4416572966872874
102.75,7.05,0.859257400903161,0.41989279332936275,49.779473005576044,2.274699394899136
99.59,7.92,0.8328315771868205,0.4717093508040501,40.08268456796628,1.0541672562227198
103.84,7.36,0.8683726375648102,0.4383561643835617,48.54027252780705,1.803511606667709
103.91,7.29,0.8689580197357417,0.43418701608100063,49.13622102278714,1.66221436329434
104.46,7.05,0.8735574510787757,0.41989279332936275,51.48947300557604,1.697353876657381
103.85,7.35,0.8684562635892289,0.4377605717689101,48.62540802708992,1.2770326156388496
104.8,7.48,0.8764007359090149,0.44550327575938065,48.598646536412595,1.1628531431536717
104.89,8.38,0.8771533701287841,0.4991066110780227,41.926451600954216,0.3937744070327723
104.8,11.76,0.8764007359090149,0.7004169148302561,16.44065284334387,-2.1253355603639954
103.42,10.439,0.8648603445392207,0.6217391304347827,24.986052298611114,-1.2414016665286294
109.5,10.868,0.9157049673858505,0.6472900536033354,27.842739379375956,-0.9655294093072874
115.05,10.226,0.962117410938284,0.6090530077427041,38.21643843333625,0.013883025499966853
115.92,12.278,0.9693928750627195,0.7312686122692079,23.668633980491165,-1.3670675175520453
114.07,11.303,0.9539220605452416,0.673198332340679,29.144345160571064,-0.8040997408189952
112.45,10.819,0.9403746445893962,0.6443716497915427,31.160903325862023,-0.613439855580402
111.18,10.922,0.9297541394882088,0.650506253722454,29.11700768324846,-0.829488742180203
110.1,10.626,0.9207225288509784,0.6328767123287671,30.261018462021426,-0.7207762516022267
111.07,11.436,0.9288342532196019,0.681119714115545,25.145043020108886,-1.1417179394296766
113.44,13.588,0.9486536210068574,0.8092912447885646,11.345883574435078,-2.042138005863302
110.41,15.131,0.9233149356079612,0.9011911852293032,-3.277523964911893,-2.5271049153243355
112.0,14.088,0.9366114734905503,0.8390708755211436,6.149108610291549,-1.6572757288142892
109.69,14.558,0.9172938618498077,0.8670637284097678,0.307740143996611,-1.7821086691190324
111.19,14.615,0.9298377655126275,0.8704586063132818,1.3794677980842351,-1.5203951512617124
