FLOWUSDT,1INCHUSDT,FLOWUSDT_perc,1INCHUSDT_perc,spread,zscore
1.87,0.6875,1.272108843537415,0.9953670189662661,0.0150753899011149,1.6398201691775418
1.84,0.6601,1.251700680272109,0.9556971188649197,0.05900256708905571,1.9722319858570885
1.85,0.6799,1.2585034013605443,0.984363689011148,0.015580738318208054,1.3152875645970799
1.83,0.675,1.2448979591836735,0.9772694368032432,0.008801291902912567,1.123351701247586
1.62,0.623,1.1020408163265307,0.9019834950050674,-0.06089895576960802,0.31396238541994836
1.59,0.6352,1.0816326530612246,0.9196467351961778,-0.12381543612336277,-0.35803391705786414
1.77,0.6941,1.2040816326530612,1.0049225423483423,-0.10273188635583463,-0.11512714547451473
1.88,0.7728,1.2789115646258502,1.1188649196467353,-0.20507016535915445,-1.1425500988443102
1.86,0.7595,1.2653061224489797,1.0996090922252786,-0.18918580562924103,-0.9992614519403261
1.92,0.7658,1.3061224489795917,1.1087302736354423,-0.14618366023814744,-0.5585016271518307
1.93,0.7615,1.3129251700680271,1.1025047053713624,-0.12458194994952865,-0.2967382304189743
2.02,0.77,1.3741496598639455,1.1148110612422182,-0.05751556331075136,0.4323831902324082
1.88,0.7416,1.2789115646258502,1.0736933545678298,-0.1208903139626667,-0.24603719137190078
1.84,0.7655,1.251700680272109,1.1082959316635297,-0.22537423859010386,-1.2732456784519972
2.6,0.7988,1.7687074829931975,1.156507890545823,0.44477995847710616,3.4279682928555055
2.73,0.8324,1.8571428571428572,1.205154191400029,0.4841247338962731,2.748297938401896
2.57,0.8078,1.748299319727891,1.1695381497031996,0.3904973090358115,1.930851712574084
2.62,0.8065,1.7823129251700682,1.1676560011582453,0.4440048028439989,1.8730383166339792
3.02,0.8367,2.054421768707483,1.211379759664109,0.7625230236076548,2.556567093514846
2.99,0.8072,2.034013605442177,1.1686694657593746,0.8121161523318983,2.2330340527574233
3.06,0.8825,2.0816326530612246,1.2776893007094252,0.6789513186730676,1.601381999674211
2.97,0.864,2.0204081632653064,1.2509048791081512,0.6388656536357282,1.334420690875512
2.94,0.8795,2.0,1.2733458809902996,0.5670455351534986,1.0378845108873849
2.92,0.873,1.9863945578231292,1.2639351382655277,0.5645830041944335,0.9427309710934579
2.83,0.8391,1.925170068027211,1.2148544954394094,0.5660476504233096,0.8650970294474505
2.71,0.8195,1.8435374149659864,1.1864774866077892,0.4989298647621285,0.6217426399635007
2.68,0.8176,1.8231292517006805,1.1837266541190097,0.4740562018664023,0.49103389852380397
2.57,0.7726,1.748299319727891,1.1185753583321267,0.4854694490728746,0.45761584420239243
2.52,0.7319,1.7142857142857144,1.059649630809324,0.5452809859907286,0.5524926399165467
2.12,0.6779,1.4421768707482994,0.9814680758650643,0.29097688263849575,-0.27904011247047167
2.12,0.6745,1.4421768707482994,0.9765455335167221,0.3001503279829847,-0.34153659397628117
2.16,0.6995,1.469387755102041,1.0127406978427682,0.2726985239793889,-0.5419387508112175
2.13,0.6991,1.4489795918367347,1.0121615752135515,0.24377775284344594,-0.7546223766899965
2.15,0.7242,1.4625850340136055,1.0485015201969017,0.196056141623836,-1.1227726450358064
2.14,0.722,1.4557823129251701,1.0453163457362096,0.19199190037615277,-1.5739909139184012
2.14,0.7433,1.4557823129251701,1.076154625742001,0.13452296336508907,-1.6777007579852776
1.85,0.6605,1.2585034013605443,0.9562762414941364,0.06792333822499841,-1.7607277404152157
1.83,0.6516,1.2448979591836735,0.943390762994064,0.0719361804502785,-1.5601889521361834
1.69,0.631,1.1496598639455782,0.9135659475894021,-0.012483533050758666,-1.697211537469422
1.92,0.6715,1.3061224489795917,0.9722021137975967,0.10824454446341614,-1.1021354622864596
2.01,0.6525,1.3673469387755102,0.9446937889098016,0.24950791550614881,-0.4257166099652078
