AAVEUSDT,WAVESUSDT,AAVEUSDT_perc,WAVESUSDT_perc,spread,zscore
83.42,4.26,1.2568931746270904,0.6137444172309465,6.57561902745465,1.2714259153894887
87.41,4.406,1.3170106976043392,0.6347788503097536,7.93198531337211,1.4326301571103692
88.12,4.461,1.3277083019436493,0.6427027805791673,7.649863023820458,1.232996027387224
91.1,4.71,1.3726081060720203,0.6785765739806945,6.138254840213932,0.8086047500186998
92.6,4.952,1.395208678619858,0.7134418671661144,3.272916766186711,0.014387114604037687
91.43,4.912,1.3775802320325448,0.707679008788359,2.824460249497008,-0.19844918840080153
90.85,4.846,1.368841343980714,0.6981702924650627,3.435006996958961,-0.04949569880093555
82.87,4.367,1.2486062980262167,0.6291600633914421,4.095490209599632,0.04607835553075979
83.55,4.438,1.2588518909145696,0.6393891370119579,3.4947505267238768,-0.312274205502254
78.45,4.218,1.182009944251921,0.6076934159343034,2.3632396849304484,-0.8080352942941662
79.25,4.306,1.194063582944101,0.6203717043653653,1.5758440216478107,-1.1798095017328367
81.31,4.37,1.2251017025764652,0.6295922777697739,2.4813744483513602,-0.8874671459528783
72.92,3.887,1.0986891667922254,0.5600057628583778,2.80401200932306,-0.8739489962430843
76.23,4.016,1.148561096881121,0.5785909811266389,3.787034275647386,-0.4193900097110544
73.95,3.919,1.1142082266084075,0.5646160495605821,3.2567772226748275,-0.6608803216606198
73.14,3.849,1.1020039174325749,0.5545310473995102,3.7094783184678164,-0.43802046634341946
76.65,4.026,1.1548892571945155,0.5800316957210776,4.026648404819824,-0.2753034243939516
77.03,4.014,1.1606147355733012,0.5783028382077511,4.623111449812896,0.08282486506615928
74.9,3.935,1.1285219225553713,0.5669211929116842,3.9181598293507136,-0.23818775350891683
73.6,3.893,1.1089347596805783,0.560870191615041,3.375780486826514,-0.46653454806861805
76.21,3.909,1.1482597559138163,0.5631753349661431,5.697163093502397,0.906366130021732
76.6,3.875,1.1541359047762543,0.5582769053450511,6.700475054316129,1.480796527861944
76.8,3.847,1.1571493144492992,0.5542429044806224,7.40555549263334,1.9674726764011337
76.9,3.859,1.158656019285822,0.555971761993949,7.289092447640257,1.95083951175194
74.61,3.821,1.124152478529456,0.5504970465350815,5.684558756785023,0.9955249143623347
74.53,3.8,1.122947114660238,0.5474715458867598,5.983369085522924,1.0746495559008813
72.63,3.697,1.09431972276631,0.5326321855640398,5.941343555046899,0.9537705372999286
75.54,3.77,1.1381648335091157,0.5431494021034433,7.534526698005649,1.6752985825233737
78.81,3.854,1.1874340816634021,0.5552514046967296,9.289285383054036,2.1879609616564015
78.71,3.813,1.1859273768268794,0.5493444748595304,9.928867453447069,2.087010111680091
77.49,3.786,1.1675455778213046,0.5454545454545455,9.195909304681521,1.5781499943911066
75.76,3.794,1.1414795841494652,0.5466071171300966,7.321600608019466,0.7182562666959856
74.61,3.74,1.124152478529456,0.5388272583201268,7.145684310488349,0.5679189431842968
