ANTUSDT,MKRUSDT,ANTUSDT_perc,MKRUSDT_perc,spread,zscore
2.171,1082.0,1.3,1.1742999782939005,-0.1522048483408418,1.8901836614934888
2.181,1081.5,1.3059880239520958,1.1737573258085523,-0.14113127863273567,1.7457046793451494
2.095,1067.5,1.254491017964072,1.1585630562187974,-0.19707132680577466,1.120279987014883
2.008,1023.2,1.2023952095808383,1.1104840460169307,-0.18895305066760537,1.0835068412287765
2.006,997.5,1.2011976047904191,1.0825917082700238,-0.13577156767096987,1.4020943618356396
1.992,978.5,1.192814371257485,1.0619709138267854,-0.10897591876295154,1.4523064107692008
1.863,930.0,1.1155688622754492,1.0093336227479923,-0.13383965707669376,1.1413084116992125
1.758,894.4,1.0526946107784432,0.9706967657911874,-0.16240149385956437,0.842477567437974
1.643,836.8,0.9838323353293413,0.9081831994790536,-0.1537262634857819,0.8611025940904199
1.593,822.8,0.9538922155688623,0.8929889298892989,-0.17366631165882107,0.5986416746270284
1.645,837.0,0.9850299401197605,0.908400260473193,-0.1521556913690243,0.7703564982773357
1.649,839.3,0.9874251497005988,0.9108964619057955,-0.15309411202631074,0.6983698940950072
1.725,854.4,1.032934131736527,0.9272845669633167,-0.10951591721110421,1.101642633194378
1.679,854.0,1.0053892215568863,0.926850444975038,-0.15465706144461966,0.5040845775375814
1.754,845.7,1.0502994011976048,0.9178424137182549,-0.06183580429006441,1.460830445633072
1.533,760.2,0.9179640718562874,0.8250488387236814,-0.09925538420398139,0.9743355715471574
1.589,763.9,0.951497005988024,0.8290644671152594,-0.05119980004396374,1.5061491093640147
1.512,736.4,0.9053892215568863,0.7992185804210983,-0.06915346609814743,1.255565454907974
1.659,810.0,0.9934131736526947,0.8790970262643804,-0.08018292713131392,1.2782322539101498
1.586,782.5,0.9497005988023953,0.8492511395702192,-0.09413659318549761,0.8614652284245482
1.659,758.7,0.9934131736526947,0.8234208812676362,0.02996532492033599,2.8088056967189883
1.733,757.2,1.0377245508982036,0.8217929238115911,0.10718603404465332,2.9689868247058837
1.769,749.5,1.0592814371257484,0.813436075537226,0.15971900754948165,2.736440226042231
1.844,742.0,1.1041916167664672,0.8052962882570003,0.25082255317106816,2.7795648150641927
1.868,752.3,1.118562874251497,0.8164749294551769,0.2527070171840897,2.287428597459927
1.931,740.8,1.1562874251497006,0.803993922292164,0.3403991204705219,2.3594543241383894
1.911,727.5,1.1443113772455091,0.7895593661818971,0.3489560747061349,2.0281375414283316
1.847,738.6,1.1059880239520958,0.8016062513566312,0.26112282718618696,1.3684783239473584
1.82,725.7,1.0898203592814373,0.787605817234643,0.26182092565531545,1.2394981720829754
2.048,779.0,1.2263473053892215,0.8454525721727806,0.3753783947712426,1.6333825822053496
1.962,763.8,1.1748502994011976,0.8289559366181897,0.32201491389765735,1.2343695864021704
1.962,754.1,1.1748502994011976,0.8184284784024312,0.3428421662349088,1.2177518458351317
1.93,737.0,1.1556886227544911,0.7998697634035165,0.3475582502521255,1.1340315265664151
1.734,695.8,1.0383233532934133,0.7551551986108096,0.2400203942000394,0.5107256993542184
1.759,701.0,1.0532934131736527,0.7607987844584329,0.2538552692357394,0.5128954220658871
1.657,659.3,0.9922155688622755,0.7155415671803776,0.2413909828917591,0.3750319601039139
1.721,669.5,1.0305389221556887,0.7266116778814847,0.2834901608464018,0.553377805217382
1.75,685.9,1.0479041916167666,0.7444106794009117,0.27727707442053307,0.44209665830953604
1.62,632.2,0.970059880239521,0.6861298024744954,0.2625784610710906,0.2612065920272204
1.683,627.5,1.0077844311377246,0.6810288691122206,0.33567001632728477,0.7688831609041026
1.66,610.4,0.9940119760479041,0.6624701541133058,0.3493861003445011,0.9426679922234836
1.606,590.5,0.9616766467065869,0.6408725851964402,0.33811417472711014,0.8171152489693807
1.668,646.6,0.9988023952095808,0.7017581940525288,0.279659653477645,-0.22459585880253477
1.649,670.5,0.9874251497005988,0.7276969828521814,0.20934302143019012,-1.7596440661314803
1.628,679.5,0.9748502994011976,0.7374647275884524,0.16901876668428661,-2.215620036253566
1.597,708.0,0.9562874251497007,0.7683959192533102,0.07682529332225907,-2.8642130777160806
1.65,718.7,0.9880239520958084,0.7800086824397656,0.10685090156879573,-2.055824318802007
1.675,744.5,1.0029940119760479,0.8080095506837421,0.07645470463053927,-2.058514451353327
1.685,730.5,1.0089820359281438,0.7928152810939875,0.11651465645750037,-1.4398433242782498
1.665,738.3,0.9970059880239521,0.8012806598654222,0.07976696901105074,-1.6175875790747036
1.692,738.1,1.0131736526946107,0.8010635988712829,0.10719639689429283,-1.2261382469250466
1.674,730.2,1.0023952095808384,0.7924896896027784,0.10615879828236352,-1.1211086928049079
1.605,754.8,0.9610778443113773,0.8191881918819188,-0.01566083135643903,-2.001707402483108
1.677,809.0,1.004191616766467,0.8780117212936835,-0.06003578771510232,-2.0652856747917463
1.72,845.0,1.0299401197604792,0.9170827002387671,-0.09433280669871635,-1.9898872392126823
1.707,843.2,1.0221556886227545,0.915129151291513,-0.10346795574953571,-1.7823497003497475
1.684,843.5,1.0083832335329341,0.915454742782722,-0.12711209757439912,-1.6998763651774766
1.689,859.0,1.011377245508982,0.9322769698285218,-0.15539275852567713,-1.6603731923275282
1.676,879.0,1.0035928143712576,0.9539830692424571,-0.2113355468499074,-1.756358900871838
1.684,973.4,1.0083832335329341,1.056435858476232,-0.4060255077402728,-2.350856444702689
1.614,978.8,0.9664670658682636,1.0622965053179942,-0.4876200605878147,-2.3051657412600455
1.624,973.7,0.9724550898203594,1.056761449967441,-0.46666964956513635,-1.9412442032745025
1.617,915.4,0.9682634730538923,0.9934881701758194,-0.3484914216000057,-1.3113633179296318
1.572,917.4,0.9413173652694612,0.995658780117213,-0.3977857004324288,-1.3985291700414364
1.538,914.3,0.9209580838323354,0.992294334708053,-0.42512956824217296,-1.3804498300500478
1.527,969.2,0.9143712574850299,1.0518775775993054,-0.5540075221921847,-1.7321553560840528
1.583,1000.0,0.9479041916167665,1.085304970696766,-0.5641394162114988,-1.574162319022961
1.631,1090.0,0.9766467065868264,1.1829824180594748,-0.7093819636705334,-1.886346985525598
1.605,1102.0,0.9610778443113773,1.1960060777078358,-0.7611476366650716,-1.8203258396383724
1.583,1087.8,0.9479041916167665,1.1805947471239417,-0.7526582569548681,-1.6054564846171586
1.545,1051.0,0.9251497005988024,1.1406555242023009,-0.711643526438285,-1.3283783001762621
1.558,1014.2,0.9329341317365271,1.10071630128066,-0.6196287959217017,-0.9200560756199123
1.565,995.6,0.937125748502994,1.0805296288257,-0.5726920027801681,-0.6754413972355346
1.585,977.0,0.9491017964071856,1.0603429563707403,-0.5127552096386343,-0.35849339978657596
1.625,927.6,0.9730538922155689,1.00672889081832,-0.3666865224777862,0.3670105652198656
1.654,943.3,0.9904191616766467,1.023768178858259,-0.3713966113123064,0.43669544213376316
1.728,937.0,1.0347305389221557,1.0169307575428697,-0.283869632990174,0.9814950119329741
1.749,903.0,1.047305389221557,0.9800303885391796,-0.18986689283898306,1.545338359216415
1.81,897.5,1.0838323353293413,0.9740612112003473,-0.11705762604981995,1.900468774989679
1.816,915.6,1.087425149700599,0.9937052311699588,-0.14992084948324802,1.6644122441230118
1.816,908.7,1.087425149700599,0.9862166268721512,-0.1351055875113889,1.5668941942620767
1.844,898.2,1.1041916167664672,0.974820924679835,-0.08456062364116801,1.6027593317520303
1.805,879.6,1.0808383233532934,0.9546342522248752,-0.08362383049963418,1.4389190365884856
1.851,837.6,1.1083832335329342,0.9090514434556111,0.05255602498124867,1.7817669618110425
1.92,847.1,1.1497005988023952,0.9193618406772304,0.10115820052723934,1.727015009335236
2.072,913.5,1.2407185628742516,0.9914260907314956,0.11058814329079603,1.5596901149797464
2.022,898.6,1.2107784431137725,0.9752550466681138,0.09258052059234712,1.343339232644781
1.853,846.0,1.1095808383233534,0.9181680052094638,0.03652005388507207,1.0519894296730339
1.906,829.0,1.141317365269461,0.8997178207076189,0.12602142396066762,1.2269669255066806
1.724,714.0,1.0323353293413173,0.7749077490774908,0.19094245682499,1.333466465324586
1.652,670.9,0.9892215568862275,0.7281311048404602,0.21148416566370565,1.3160885319267288
1.826,880.0,1.0934131736526946,0.9550683742131539,-0.06348268626611864,0.24782673277663955
1.977,780.3,1.1838323353293414,0.8468634686346863,0.30158711353016776,1.6060300131602314
1.771,699.8,1.0604790419161676,0.7594964184935967,0.2684318365351932,1.396193654878332
1.808,674.0,1.0826347305389223,0.7314955502496202,0.36082803347344994,1.711736442211927
1.905,695.0,1.1407185628742516,0.7542869546342522,0.4127381057330084,1.775557106930093
1.87,707.2,1.1197604790419162,0.7675276752767528,0.35154300485522816,1.3982490984884137
1.972,657.2,1.1808383233532935,0.7132624267419145,0.5608999756658031,2.141150187701426
2.017,649.8,1.2077844311377246,0.7052311699587583,0.6217888073457682,2.0899777377089945
2.183,657.0,1.307185628742515,0.7130453657477751,0.7723294035490453,2.2781638376629587
2.101,682.0,1.2580838323353294,0.7401779900151942,0.6366509181437578,1.5674166794706872
1.779,657.5,1.0652694610778444,0.7135880182331236,0.3672558338409395,0.457450019416121
1.842,635.0,1.102994011976048,0.6891686563924463,0.47856647070569847,0.8278623212818556
1.871,648.3,1.1203592814371257,0.7036032125027132,0.4790095164700856,0.7544607701360158
1.899,663.0,1.137125748502994,0.7195571955719557,0.47544656705177646,0.6648461291695287
1.878,661.8,1.1245508982035928,0.7182548296071196,0.4570231343512303,0.5160158136189401
1.808,646.0,1.0826347305389223,0.7011070110701108,0.4209479371273719,0.2898223767018541
1.795,639.5,1.0748502994011977,0.6940525287605818,0.4219043433327465,0.22948241022946336
1.791,638.6,1.0724550898203593,0.6930757542869547,0.4198367688073368,0.13939037662237222
1.855,645.2,1.1107784431137724,0.7002387670935534,0.469665648660341,0.33709263709127657
1.881,644.7,1.1263473053892217,0.699696114608205,0.4967392183684467,0.42374894164524435
1.955,660.8,1.1706586826347307,0.7171695246364228,0.5361702737674419,0.5846567579712544
1.966,645.8,1.177245508982036,0.7008899500759713,0.5793773650106142,0.9105695656151358
1.946,645.5,1.1652694610778442,0.7005643585847623,0.5600215068354777,0.6737997037621293
1.98,640.0,1.18562874251497,0.6945951812459301,0.6058307736246409,1.008124472452892
2.162,648.5,1.2946107784431138,0.7038202734968526,0.7695800885868431,2.161272073612478
2.15,638.2,1.2874251497005988,0.692641632298676,0.7796956245738214,1.9253221084561367
2.17,631.2,1.2994011976047903,0.6850444975037986,0.814725600487302,1.930052615142248
2.256,605.9,1.3508982035928143,0.6575862817451704,0.9550482277174528,2.3832408617865357
2.154,621.3,1.2898203592814372,0.6742999782939005,0.8199822807077959,1.3976061687052406
2.255,610.4,1.3502994011976048,0.6624701541133058,0.9443861003445011,1.9392121832883729
2.346,612.8,1.4047904191616767,0.665074886042978,1.0302329657455938,2.044829820308735
2.361,600.9,1.4137724550898205,0.6521597568916866,1.0707839247985107,1.9386760351661574
2.186,588.0,1.3089820359281437,0.6381593227696983,0.9234820232676388,1.145107020953655
2.203,603.7,1.3191616766467065,0.6551986108096376,0.906771934433118,0.9727575271452191
2.108,606.0,1.2622754491017965,0.6576948122422401,0.806833513775832,0.4656730686023851
2.144,590.3,1.2838323353293415,0.6406555242023008,0.8765436026103526,0.7060393972309936
1.825,539.1,1.0928143712574852,0.5850879097026265,0.667477140720381,-0.33428579652649554
