DUSKUSDT,1000BTTUSDT,DUSKUSDT_perc,1000BTTUSDT_perc,spread,zscore
0.1377,0.000916,1.07578125,1.1170731707317074,0.002821219750874099,-0.6332005629318616
0.1245,0.000864,0.97265625,1.053658536585366,-0.002721906261184237,-1.0597979949444676
0.1235,0.000866,0.96484375,1.0560975609756098,-0.004016401414566606,-1.065897750262941
0.12,0.000849,0.9375,1.0353658536585366,-0.005013192610816453,-1.0463038995810647
0.1305,0.000882,1.01953125,1.075609756097561,0.0006276373583744277,-0.5120793631981363
0.1324,0.000878,1.0343749999999998,1.0707317073170732,0.003116627665139149,-0.20611346778621675
0.1323,0.00088,1.03359375,1.0731707317073171,0.002722132511756792,-0.17085552149304703
0.1398,0.000889,1.0921875,1.0841463414634147,0.008896904321536142,0.5585126866628376
0.1351,0.000889,1.05546875,1.0841463414634147,0.004196904321536132,0.16134140476824124
0.1363,0.000879,1.06484375,1.0719512195121952,0.006869380088447979,0.7364445774170701
