AAVEUSDT,LDOUSDT,AAVEUSDT_perc,LDOUSDT_perc,spread,zscore
58.5,1.2323,0.6448412698412699,0.7851545078050335,0.9426481097690598,-2.0065876738157225
58.35,1.222,0.6431878306878307,0.7785919082510354,1.273732849255694,-1.7507188335206105
58.7,1.1966,0.6470458553791888,0.7624084103217587,2.810097158280982,-1.2855257033943002
56.08,1.1081,0.6181657848324514,0.7060210258043964,4.32368933736516,-0.8828328953747968
55.9,1.1077,0.6161816578483245,0.7057661675692896,4.162372239869505,-0.8335391910301034
57.42,1.124,0.6329365079365079,0.7161516406498886,4.9210439628178335,-0.6030363265822523
58.45,1.1612,0.6442901234567902,0.7398534565148137,4.213534029914662,-0.700299823996734
58.12,1.1399,0.640652557319224,0.7262822554953807,4.878398588270514,-0.5230373666634922
59.15,1.1124,0.6520061728395061,0.7087607518317937,7.192848135443562,0.026994018288772723
61.69,1.0801,0.6800044091710759,0.6881809493469259,11.241492512668636,1.0819482995054812
61.5,1.0751,0.6779100529100529,0.6849952214080918,11.285028793972828,1.161321106622213
60.16,1.08,0.6631393298059964,0.6881172347881492,9.716163238294712,0.7490576760207357
61.56,1.0982,0.6785714285714286,0.6997132844855051,10.266091174347466,0.9200661012038868
65.24,1.1354,0.7191358024691358,0.7234151003504301,12.208581241444278,1.568052278991378
63.61,1.1059,0.701168430335097,0.7046193055113095,11.956445301139006,1.4991018475701978
65.65,1.1247,0.7236552028218696,0.7165976425613253,13.118348883435253,1.6487785005565336
62.72,1.0926,0.691358024691358,0.6961452691940109,11.687651809408159,1.1753090053915276
64.33,1.107,0.7091049382716049,0.7053201656578528,12.62506731925209,1.2858334175214834
64.35,1.0784,0.7093253968253967,0.6870978018477223,13.980894848312055,1.442303373541667
63.92,1.0611,0.7045855379188712,0.6760751831793564,14.358930381624567,1.3672142262287483
61.3,1.0063,0.675705467372134,0.6411596049697356,14.298488024718495,1.2410462553270718
62.76,1.0474,0.6917989417989417,0.6673462886269513,13.838819792398041,1.0579186936934677
61.45,1.0437,0.6773589065255732,0.6649888499522142,12.701636640563144,0.7285344389373598
61.37,1.024,0.6764770723104057,0.652437081873208,13.541769588901658,0.8681684462891859
59.7,1.03,0.6580687830687831,0.656259955399809,11.591526051336636,0.26973044455487405
60.05,1.0648,0.6619268077601411,0.6784326218540937,10.316113533459458,-0.2020564569423631
61.98,1.1278,0.6832010582010581,0.7185727938834023,9.303556389026653,-0.6517202699214755
62.55,1.1336,0.689484126984127,0.7222682382924498,9.602654302713795,-0.7564689157212219
60.92,1.1405,0.6715167548500882,0.7266645428480408,7.650374234514004,-1.8806539835269713
54.75,1.0148,0.603505291005291,0.6465753424657534,7.351476346501379,-2.0447960926401882
55.51,0.9941,0.6118827160493827,0.6333864287989805,9.07831655110072,-1.116771653736208
55.75,0.981,0.6145282186948854,0.6250398215992354,9.930181608117707,-0.6773138245943277
53.7,0.95,0.591931216931217,0.6052883083784645,9.328106552203693,-0.9413787804927215
55.67,0.9891,0.6136463844797179,0.6302007008601466,9.47185283240492,-0.8470652934115283
56.0,0.9393,0.6172839506172839,0.5984708505893597,12.12787419419466,0.3653973094766486
55.66,0.8959,0.6135361552028218,0.5708187320802804,13.814969115915034,1.0637519019306931
54.55,0.9371,0.6013007054673721,0.5970691302962727,10.780630157968496,-0.23513504085106526
54.38,0.946,0.5994268077601411,0.6027397260273972,10.194935577247044,-0.46411910345730517
54.4,0.9695,0.599647266313933,0.6177126473399173,9.117315055117345,-0.8629562778776149
55.95,1.038,0.6167328042328043,0.6613571201019434,7.467868001249926,-1.439110276228516
57.43,1.0119,0.6330467372134039,0.6447276202612298,10.1669273896578,-0.18247752492135347
53.24,0.9528,0.5868606701940036,0.6070723160242115,8.737326234673347,-0.7831173598549508
53.94,0.9607,0.5945767195767195,0.6121057661675693,9.068338910212717,-0.5457631291869692
52.4,0.964,0.5776014109347443,0.6142083466071998,7.374204964551957,-1.3462437257994688
51.93,0.9521,0.5724206349206349,0.6066263141127748,7.460021314055929,-1.2389424232052044
52.09,1.0795,0.57418430335097,0.6877986619942656,1.6695168664251483,-3.1753927986845265
