,MATICUSDT,STXUSDT,Spread,ZScore
176,1.603,1.251,43,-0.6226036981227034
177,1.5894,1.233,43,0.0753195099829082
178,1.5981,1.247,43,-0.756083082353882
179,1.6221,1.251,43,0.8508764590241545
180,1.6146,1.25,43,0.2528961908206089
181,1.6261,1.264,43,-0.3022845962301182
182,1.5944,1.263,43,-2.593503566391564
183,1.6101,1.262,43,-1.0984411123845461
184,1.6216,1.282,43,-2.2152028981278167
185,1.6083,1.256,43,-0.3079353251725599
186,1.6059,1.253,43,-0.16234173743491162
187,1.6141,1.252,43,0.7056226757679228
188,1.6401,1.274,43,0.43939123444382494
189,1.6461,1.261,43,2.109270175069862
190,1.6574,1.261,43,2.397763761191632
191,1.6166,1.241,43,1.2601715358788514
192,1.6243,1.236,43,1.8723953994736393
193,1.6258,1.241,43,1.420625880328344
194,1.643,1.245,43,1.8232269414665554
195,1.6779,1.251,43,2.498393988690066
196,1.6711,1.253,43,1.8234855438825068
197,1.6731,1.244,43,1.9843327133427933
198,1.6219,1.223,43,1.0523816113926887
199,1.635,1.23,43,1.078433395493432
